R1R2_code,sLi,ssBe,ssssBe,ssBH,sssB,ssssB,sCH3,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3,sNH2,ssNH2,dNH,ssNH,aaNH,tN,sssNH,dsN,aaN,sssN,ddsN,aasN,ssssN,sOH,dO,ssO,aaO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,dsssP,sssssP,sSH,dS,ssS,aaS,dssS,ddssS,sCl,sGeH3,ssGeH2,sssGeH,ssssGe,sAsH2,ssAsH,sssAs,sssdAs,sssssAs,sSeH,dSe,ssSe,aaSe,dssSe,ddssSe,sBr,sSnH3,ssSnH2,sssSnH,ssssSn,sI,sPbH3,ssPbH2,sssPbH,ssssPb
1,0,0,0,0,0,0,1.87037037,0,0,0,0,7.252037037,0,0,0,0,1.291666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.919259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,3.782407407,0,0,0,0,5.717314815,0,0,0,0,2.293981481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.206296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,14.96963908,0,0,0,0,4.229074074,0,0,0,0,3.738888889,0,0.105717593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12334703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,3.43420068,0,0,0,0,5.130787037,0,0,0,0,1.912453704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08366969,0,4.938888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,3.268518519,0,0,0,0,2.699074074,0,0,0,0,1.200740741,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.472777778,0,0,9.289924414,10.34059335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1.743148148,0,0,0,0,3.160925926,0,0,0,0,1.633209877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.140154321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21145062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1.806759259,0,0,0,0,4.956790123,0,0,0,0,1.756666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.985061728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.605833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,4.202311665,0,7.1814803,0,0,4.365248803,4.358053666,0,0,0,4.219709467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.50652943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,6.073611111,0,0,0,0,5.859722222,0.398055556,0,0,0,2.433981481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.567962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1.904537037,0,0,0,0,15.68489229,0,0,0,0,3.226252834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.850984505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,10.33537037,0,0,0,0,4.062407407,0,0,0,0,3.646527778,0,0.01474537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.857615741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,10.83098262,0,0,0,0,25.24828037,0,0,0,0,5.98204953,0,-0.416548564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85523605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,8.017777778,0,0,0,0,3.593271605,0,0,0,0,2.770416667,0,-0.069699074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.798973765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.917037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,5.851296296,0,0,0,0,3.949074074,0,0,0,0,3.535555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.330740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,13.40074074,0,0,0,0,6.093904321,0,0,0,0,2.663348765,0,0.262175926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13122685,0,0,0,0,0,0,0,-1.60695216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1.852037037,0,0,0,0,3.669074074,0,0,0,0,2.859722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.263032407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.522800926,0,0,0,0,0,0,0,0,0